Name,Overall Quality,Total Ratings,Hot,Easiness,Department,College
"Pei, ",3.8,4,Not Hot,3.2,Biology,Duke
"Richman, Laura",4.3,6,Hot,3.8,Psychology,Duke
"Abrahamson, Michael",4.5,1,Hot,2,Physical Education,Harvard
"Baron, Evalyn",5,1,Hot,3,Theater,Harvard
"Bier, Sara",4.5,2,Not Hot,2,Geology,Harvard
"Blaney, Paul",2.8,4,Not Hot,1.2,Psychology,Harvard
"Carter, Ken",3.6,9,Not Hot,2.9,Psychology,Harvard
"Coulthard, Anita",4.5,3,Not Hot,2.7,Music,Harvard
"Crickmer, Janet",4.5,3,Hot,2.3,Education,Harvard
"Damer, Ed",2.9,18,Not Hot,1.8,Philosophy,Harvard
"Davis, Mark",3.9,18,Hot,4.5,Music,Harvard
"Diss, Ronald",4,8,Not Hot,3.2,Education,Harvard
"Ambrose, Scott",3.8,3,Hot,2.7,Business,Harvard
"Baumgartner, Tim",3.9,4,Not Hot,3.8,Theater,Harvard
"Blackburn, Jessie",4.8,6,Hot,3.5,English,Harvard
"Boltwood, Scott",4.5,32,Hot,2.2,English,Harvard
"Chamberlain, Kathleen",4.3,20,Hot,2,English,Harvard
"Cox, Mary B",5,1,Not Hot,2,Psychology,Harvard
"Cumbo, James",4.8,6,Hot,2.7,Business,Harvard
"Davis, Ed",4.3,11,Not Hot,2.5,Geography,Harvard
"Dawsey, James",4.4,16,Not Hot,3.2,Theology,Harvard
"Diyorio, ",2.7,3,Not Hot,4.3,Chemistry,Harvard
"Dobkins, Linda",4.1,8,Not Hot,2.9,Economics,Harvard
"Duchamp, James",2.6,15,Not Hot,2.7,Science,Harvard
"Edmondson, Kim",5,2,Hot,3.5,Psychology,Harvard
"Fields, Glenna",5,1,Not Hot,1,English,Harvard
"Fleet, Christine",4,2,Hot,2.5,Biology,Harvard
"Frederick, Matthew",3.6,9,Not Hot,2.6,Music,Harvard
"Gaia, Celeste",4.4,18,Hot,3.3,Psychology,Harvard
"Griffin, Terry",3.5,13,Not Hot,2.6,Languages,Harvard
"Hainsworth, Laura",4.5,4,Not Hot,2.5,Science,Harvard
"Hall, Crystal",5,3,Hot,2.7,Mathematics,Harvard
"Doucette, Wendy",5,1,Hot,4,Not Specified,Harvard
"Duffy, Mike",4.2,15,Not Hot,2.8,Science,Harvard
"Ferguson, Kelli", ,0,Not Hot, ,Psychology,Harvard
"Fisher, Steven",4.9,9,Not Hot,1.9,Public Policy,Harvard
"Foster, Thomas",5,1,Hot,3,Sociology,Harvard
"Funkhouser, Beth",4.5,1,Hot,3,Physical Education,Harvard
"Goolsby, Charles",3.5,9,Not Hot,2.3,Fine Arts,Harvard
"Hagy, Mark",3.7,3,Not Hot,4,History,Harvard
"Hainsworth, Mark",4.6,6,Not Hot,3,Mathematics,Harvard
"Hamilton, James",4.3,18,Hot,2,Psychology,Harvard
"Harrison, James",3.9,18,Hot,3.3,English,Harvard
"Johnson, David",1.2,10,Not Hot,3.3,Communication,Harvard
"Kasoma, Twange",2,2,Not Hot,2,Communication,Harvard
"Keller, Teresa",3.7,13,Not Hot,2.2,Communication,Harvard
"Lane, Joseph",3.9,18,Not Hot,1.5,Political Science,Harvard
"Lang, John",3.8,16,Not Hot,1.7,English,Harvard
"Lauder, Tracy",3.8,4,Hot,3.2,Communication,Harvard
"Letson, Ben",3.7,16,Not Hot,3.1,Philosophy,Harvard
"Little, Thomas",4.6,13,Hot,3.7,History,Harvard
"Luker, Maurice",2.9,19,Not Hot,2.6,Theology,Harvard
"Iskra, John",3.7,5,Not Hot,2.4,Mathematics,Harvard
"Jones, Lee", ,0,Hot, ,Art,Harvard
"Keenan, Claudia",4.8,3,Hot,2.3,Education,Harvard
"Kellogg, Fred",4.5,13,Not Hot,1.6,Theology,Harvard
"Lane, Michael",5,4,Hot,3.2,Chemistry,Harvard
"Laplant, Don",4.3,11,Not Hot,1.9,Theater,Harvard
"Leong, Ambrose",3,15,Not Hot,1.9,Science,Harvard
"Liddle, Larry",5,4,Hot,4.8,Mathematics,Harvard
"Love, Barry",4.6,9,Not Hot,3,Economics,Harvard
"Martin, Sandra",5,1,Not Hot,4,Languages,Harvard
"McConnell, Gregory",4.6,17,Not Hot,2.5,Science,Harvard
"Mitchell, Felicia",3.9,8,Not Hot,3.2,English,Harvard
"Morgan, Wm. Perry",4.5,1,Not Hot,4,Theater,Harvard
"Morton, Gerald",5,2,Hot,2.5,English,Harvard
"Nizamuddin, Ali",4,13,Not Hot,2.8,Political Science,Harvard
"Porterfield, Kathy",3.5,10,Not Hot,4.1,Communication,Harvard
"Qualls, Chris",4.7,16,Not Hot,2.6,Psychology,Harvard
"Ray, Ricky",1.4,5,Not Hot,1.6,Philosophy,Harvard
"Reid, Suzanne",4.3,7,Not Hot,4.3,English,Harvard
"Roll, Christianne",4.8,9,Hot,2.4,Music,Harvard
"Mihaly, Deanna",3.3,12,Not Hot,2.5,Languages,Harvard
"Morgan, John",4.5,12,Hot,2.8,Geography,Harvard
"Morris, Thomas",2.2,5,Not Hot,2.6,Political Science,Harvard
"Musgrove, Kate",3.9,5,Hot,2,Theater,Harvard
"Orr, Scott", ,0,Not Hot, ,Political Science,Harvard
"Pour, Robert",4.3,12,Hot,1.8,Mathematics,Harvard
"Ramirez-Trujillo, Alma P", ,0,Not Hot, ,Languages,Harvard
"Reid, Robin",4,12,Hot,2.6,English,Harvard
"Reiff, Joe",4.4,14,Hot,2.9,Theology,Harvard
"Roper, Jack",3.9,27,Not Hot,3.3,History,Harvard
"Russell, Robert",3.6,7,Not Hot,2.6,Business,Harvard
"Schumann, Billy",3.2,3,Not Hot,3,Political Science,Harvard
"Sieck, Steven",3.3,6,Hot,3,Music,Harvard
"Smith, Jack", ,0,Not Hot, ,English,Harvard
"Stainback, George",5,2,Not Hot,3.5,Education,Harvard
"Stanley, Tal",4.1,6,Not Hot,2.5,Political Science,Harvard
"Stoytcheva-Horissian, Biliana",4.7,16,Hot,1.9,Theater,Harvard
"Thompson, Herbert",3.8,4,Not Hot,2.5,Education,Harvard
"Warden, James",4,6,Not Hot,2,Science,Harvard
"White, Laura", ,0,Not Hot, ,Business,Harvard
"Saliba, Samir",2.5,20,Not Hot,3.7,International Studies,Harvard
"Sharp, Meighan",4.5,7,Hot,4.1,English,Harvard
"Smith, Ben",1,2,Not Hot,5,Theater,Harvard
"Smith, Trevor",4.9,8,Hot,3.9,Music,Harvard
"Stanley, Denise",4.2,9,Not Hot,3,Accounting,Harvard
"Stovall, Jim",3,2,Not Hot,4,Communication,Harvard
"Taverner, Melissa",4.8,14,Not Hot,1.4,Science,Harvard
"Treadwell, George",3.7,14,Not Hot,2,Science,Harvard
"Wells, Jack",4.4,11,Hot,2.5,History,Harvard
"Wilson, Julia",4,4,Hot,3,Sociology,Harvard
"Winger, Aris",5,5,Hot,4.4,Mathematics,Harvard
"Zarzar, Marcos",3.3,5,Hot,2.8,Mathematics,Harvard
"Withers, Lisa",4.9,9,Not Hot,2.3,Music,Harvard
"Zhang, Xiangyun",4.9,14,Hot,2.1,Languages,Harvard
"Larry, Diamond",5,2,Hot,2.5,Political Science,Stanford
"Sabe, Lourdes",4.1,7,Hot,2.6,Not Specified,Yale
"Zilkha, Abraham", ,0,Not Hot, ,Middle Eastern Studies,UTexas
"Zinman, Donald",3.8,3,Not Hot,3.3,Political Science,UTexas
"Zimic, Stanislav",2.5,2,Not Hot,3,Languages,UTexas
"Zonn, Leo",4.4,5,Not Hot,4.6,Geography,UTexas
"Cutcosky, Mark",5,2,Not Hot,3,Engineering,Stanford
"Gosin, Monica",1.5,2,Not Hot,2.5,Not Specified,Duke
"Zodrow, George",4,1,Not Hot,3,Economics,Rice
"Abbott, Andrew",2,6,Not Hot,1.3,Sociology,UChicago
"Achar, Pramod",4.4,6,Hot,2.8,Mathematics,UChicago
"Alexander, Neka",1,1,Not Hot,5,English,UChicago
"Allard, Scott",3.2,5,Not Hot,2.4,Social Work,UChicago
"Ando, Clifford",5,1,Not Hot,5,Classics,UChicago
"Archer, David",4.1,12,Hot,2.7,Science,UChicago
"Arnold, Dan", ,0,Not Hot, ,Religion,UChicago
"Atkinson, Jennifer",5,1,Hot,4,English,UChicago
"Austen, Ralph",1.9,20,Not Hot,1.9,History,UChicago
"Babai, Laszlo",4.5,3,Not Hot,1.3,Mathematics,UChicago
"Abella, Isaac",4.2,19,Not Hot,2.7,Physics,UChicago
"Agrama, Hussein",4.9,4,Hot,2.5,Anthropology,UChicago
"Alitto, Guy",4,9,Hot,3.9,History,UChicago
"Allen, Danielle",4.5,1,Not Hot,3,Humanities,UChicago
"Anitescu, Mihai", ,0,Not Hot, ,Mathematics,UChicago
"Arinkin, Dima",5,1,Not Hot,2,Mathematics,UChicago
"Athreya, Jayadev",2.3,13,Not Hot,2.4,Mathematics,UChicago
"Auslander, Leora", ,0,Not Hot, ,History,UChicago
"Austin, Kelly",2.2,5,Not Hot,3.2,Languages,UChicago
"Baird, Douglas",4.1,6,Not Hot,3.8,Law,UChicago
"Bartulis, Jason",4,1,Hot,2,English,UChicago
"Baumann, Catherine",4.8,9,Hot,3.2,Languages,UChicago
"Beck, Naomi",4.7,5,Hot,2.8,Social Science,UChicago
"Behnke, Lee/mary",3.9,8,Not Hot,3.2,Humanities,UChicago
"Bell, John", ,0,Not Hot, ,Computer Science,UChicago
"Bennett, Daniel",4,1,Hot,2,Social Science,UChicago
"Berg, Marie",3.5,1,Hot,4,Languages,UChicago
"Berlant, Lauren",3.4,9,Not Hot,2.7,English,UChicago
"Bevington, David",4,18,Not Hot,3.6,English,UChicago
"Biers, Katherine",5,3,Not Hot,3,English,UChicago
"Basu, Karna",4.6,4,Hot,1.8,Economics,UChicago
"Beattie, Andrew",3,4,Not Hot,3,Fine Arts,UChicago
"Becker, Gary",4.8,6,Not Hot,2.7,Economics,UChicago
"Beilock, Sian",2,1,Hot,1,Psychology,UChicago
"Ben-Shahar, Omri",4.5,1,Hot,1,Law,UChicago
"Bennett, Jeff",5,1,Hot,2,Social Science,UChicago
"Bergstrom, Ursula",5,1,Not Hot,5,Humanities,UChicago
"Bertenthal, Bennett",2.4,5,Not Hot,1.6,Psychology,UChicago
"Bidwell, John",2.5,1,Not Hot,4,Sociology,UChicago
"Bird, Robert",4.4,5,Hot,2.6,Humanities,UChicago
"Biss, Daniel",5,1,Hot,5,Mathematics,UChicago
"Bloch, Corinne",5,2,Hot,3,Philosophy,UChicago
"Boden, Allison",5,3,Not Hot,4,Religion,UChicago
"Boller, John",5,14,Hot,3.4,Mathematics,UChicago
"Borges, Dain", ,0,Not Hot, ,History,UChicago
"Boyer, John",4,3,Not Hot,3,History,UChicago
"Brady, Gerry",4.8,10,Not Hot,2.2,Mathematics,UChicago
"Braun, Phillip",5,6,Hot,1.8,Business,UChicago
"Bridges, Jason",4.2,6,Hot,2.7,Philosophy,UChicago
"Brodkin, Evelyn",4,1,Hot,2,Social Work,UChicago
"Blackwood, Easley",2.5,2,Not Hot,4.5,Music,UChicago
"Blucher, Edward",4.5,3,Not Hot,3.7,Physics,UChicago
"Bohlman, Philip",4.2,5,Hot,3,Music,UChicago
"Bondarenko, Peter",5,4,Not Hot,2.5,Economics,UChicago
"Botello, Jesus",5,1,Hot,2,Languages,UChicago
"Bradley, David",3.3,10,Not Hot,3.3,Psychology,UChicago
"Brantz, Dorothee",5,4,Hot,3.8,History,UChicago
"Bremer, Chris",3.6,4,Not Hot,2.8,Mathematics,UChicago
"Briones, Matthew",5,1,Hot,3,History,UChicago
"Brown, Bill",4.1,5,Not Hot,3,English,UChicago
"Brudney, Daniel",4.5,2,Hot,3,Philosophy,UChicago
"Bryk, Anthony", ,0,Not Hot, ,Sociology,UChicago
"Butler, Laurie",2.9,13,Not Hot,1.7,Chemistry,UChicago
"Cafferty, Pastora", ,0,Not Hot, ,Social Work,UChicago
"Cai, Fang-Pei",4.8,8,Not Hot,3.6,Languages,UChicago
"Carr, E Summerson", ,0,Not Hot, ,Social Work,UChicago
"Chakrabarty, Dipesh",4.2,10,Not Hot,2.8,History,UChicago
"Chao, Chih-Ch'Ao",5,6,Not Hot,1,Languages,UChicago
"Chauvin, Sebastien",4,1,Hot,3,Anthropology,UChicago
"Chilton, Myles",4.5,1,Not Hot,2,Humanities,UChicago
"Bryen, Ari",3,1,Hot,1,Classics,UChicago
"Burke, Tamsen",2.5,4,Not Hot,3.2,Physical Ed,UChicago
"Cacioppo, John",3.8,11,Hot,1.8,Psychology,UChicago
"Cagney, Kathleen", ,0,Not Hot, ,Health Science,UChicago
"Cajkova, Irena",4.6,5,Hot,4,Languages,UChicago
"Cattaneo, Fausto",4,1,Hot,3,Mathematics,UChicago
"Chandler, James", ,0,Not Hot, ,English,UChicago
"Chauncey, George",2.8,6,Not Hot,3.5,History,UChicago
"Cheng, Eugenia",4,1,Not Hot,1,Mathematics,UChicago
"Choi, Yoonsun",4,1,Hot,2,Social Work,UChicago
"Chong, Kelly", ,0,Not Hot, ,Sociology,UChicago
"Christianson, Thomas",3.8,7,Not Hot,3.1,Biology,UChicago
"Clark, Marcus", ,0,Not Hot, ,Medicine,UChicago
"Clemens, Elizabeth",2.8,3,Not Hot,3,Sociology,UChicago
"Coates, Michael",4.5,1,Not Hot,2,Biology,UChicago
"Cohen, Charles",2.2,14,Not Hot,3.3,Art History,UChicago
"Cohler, Bert",3.3,22,Not Hot,3.8,Psychology,UChicago
"Cole, Jennifer",3.5,9,Not Hot,2.3,Not Specified,UChicago
"Collins, Linda",3.7,3,Not Hot,2.3,Mathematics,UChicago
"Comaroff, Jean",4.8,8,Hot,2.5,Anthropology,UChicago
"Christensen, Thomas",4,3,Not Hot,1.7,Music,UChicago
"Chudgar, Neil",4.2,9,Hot,2.2,English,UChicago
"Clark, Terry Nichols",3,1,Not Hot,4,Sociology,UChicago
"Cluzel, Philippe",3.4,9,Hot,2.8,Physics,UChicago
"Coats, Barbara",4.5,1,Not Hot,5,Social Work,UChicago
"Cohen, Ted",3.6,18,Not Hot,3.3,Philosophy,UChicago
"Cohn, Richard",5,3,Not Hot,2,Music,UChicago
"Coleman, Charly",4.5,1,Hot,3,History,UChicago
"Collins, Steven",3.9,5,Hot,3.4,Humanities,UChicago
"Conant, James",2.9,8,Not Hot,2.6,Philosophy,UChicago
"Constantin, Peter",4,1,Not Hot,3,Mathematics,UChicago
"Constantine, David", ,0,Not Hot, ,Mathematics,UChicago
"Coopersmith, Susan",2.5,3,Not Hot,1.7,Physics,UChicago
"Creel, Carmen", ,0,Not Hot, ,Languages,UChicago
"Cumings, Bruce",3.1,7,Not Hot,3.4,History,UChicago
"Cyrenne, Chad",4.4,7,Not Hot,2.4,Political Science,UChicago
"Daly, Luke T.",4.5,1,Not Hot,5,English,UChicago
"Davis, Andrew",3.2,2,Not Hot,3,Medicine,UChicago
"Day O'Connell, Jeremy", ,0,Not Hot, ,Music,UChicago
"Deak, John",4.5,2,Not Hot,3.5,History,UChicago
"Constantine, David", ,0,Not Hot, ,Management,UChicago
"Conzen, Michael",3.5,4,Not Hot,3,Geography,UChicago
"Coronado, Raul",2.1,4,Not Hot,2,English,UChicago
"Cronon, William", ,0,Not Hot, ,History,UChicago
"Cunha, Carlos",5,3,Hot,4.3,Physics,UChicago
"D'Andrea, Anthony",5,4,Hot,2,Anthropology,UChicago
"Davidson, Arnold",4.1,9,Hot,2.8,Philosophy,UChicago
"Dawdy, Shannon", ,0,Not Hot, ,Anthropology,UChicago
"De Armas, Frederik",4.5,3,Not Hot,3.7,Languages,UChicago
"Delogu, Daisy",5,1,Hot,4,Languages,UChicago
"Dembowski, Peter",4.9,4,Not Hot,2.8,Not Specified,UChicago
"Dempsey, Nick",5,1,Hot,1,Sociology,UChicago
"Deutsch, Waverly",5,1,Hot,3,Business,UChicago
"Dhar, Sanjay",5,1,Hot,2,Marketing,UChicago
"Dik, Helma",4.9,5,Not Hot,3,Classics,UChicago
"Djaballah, Marc",4.2,7,Hot,3.1,Philosophy,UChicago
"Duara, Prasenjit",4.2,3,Not Hot,3,History,UChicago
"Dubin, Nina", ,0,Not Hot, ,Art History,UChicago
"Duggan, Mark",4.1,4,Hot,3,Economics,UChicago
"Egger, Rebekka",3.7,3,Hot,2,Languages,UChicago
"Deming, Matthew",3.2,2,Not Hot,2.5,Biology,UChicago
"Desormeaux, Daniel", ,0,Not Hot, ,Humanities,UChicago
"Devendorf, Robert",2.2,4,Not Hot,2.5,English,UChicago
"Di-Vito, Nadine",3.7,3,Not Hot,3.3,Languages,UChicago
"Dilts, Andrew", ,0,Not Hot, ,Social Science,UChicago
"Donner, Fred",5,1,Hot,2,History,UChicago
"Dubey, Anshu", ,0,Not Hot, ,Computer Science,UChicago
"Dugas-Ford, Jennifer", ,0,Not Hot, ,Biology,UChicago
"Eckfeld, Tonia",5,1,Hot,3,Art History,UChicago
"Ehre, Milton",4,5,Not Hot,3,Humanities,UChicago
"Ellenbogen, Josh",4.8,3,Hot,2.3,Art History,UChicago
"Engstrom, Malitta",4.7,7,Not Hot,3.1,Social Work,UChicago
"Fama, Eugene",4.5,1,Not Hot,1,Business,UChicago
"Fasolt, Constantin",4.3,7,Not Hot,3,History,UChicago
"Fields, Barry",5,1,Not Hot,3,Law,UChicago
"Finkelstein, Ariela",4.8,5,Hot,3,Languages,UChicago
"Fleischer, Cornell",4.5,1,Not Hot,3,History,UChicago
"Fowler, Jason", ,0,Not Hot, ,Languages,UChicago
"Frederick, John",4.8,2,Hot,4,Science,UChicago
"Freeman, Michael", ,0,Not Hot, ,International Studies,UChicago
"English, Darby",3.8,2,Not Hot,3,Art History,UChicago
